1,15,1,9,0.99
2,15,1,10,0.70
3,15,1,16,0.39
4,15,1,30,0.16
5,15,1,34,0.15
6,15,1,36,0.53
7,15,1,37,0.94
8,15,1,38,0.59
9,15,1,41,0.00
10,15,1,42,0.27
11,15,1,66,0.23
12,15,1,67,0.70
13,15,1,81,0.37
14,15,1,82,0.77
15,15,1,85,0.28
16,15,1,91,0.83
17,15,1,92,0.98
18,15,1,97,0.41
19,15,1,99,0.91
20,15,1,124,0.90
21,15,1,133,0.35
22,15,1,136,0.58
23,15,1,154,0.15
24,15,1,157,0.53
25,15,1,163,0.76
26,15,1,169,0.04
27,15,1,175,0.17
28,15,1,200,0.34
29,15,1,204,0.72
30,15,1,212,0.20
31,15,1,218,0.84
32,15,1,227,0.06
33,15,1,231,0.04
34,15,1,239,0.03
35,15,1,240,0.75
36,15,1,242,0.60
37,15,1,249,0.97
38,15,1,250,0.14
39,15,1,253,0.07
40,15,1,255,0.10
41,15,1,257,0.09
42,15,1,258,0.21
43,15,1,261,0.64
44,15,1,276,0.79
45,15,1,288,0.84
46,15,1,290,0.27
47,15,1,291,0.60
48,15,1,298,0.15
49,15,1,302,0.53
50,15,1,324,0.65
51,15,1,325,0.29
52,15,1,327,0.80
53,15,1,329,0.27
54,15,1,330,0.84
55,15,1,331,0.41
56,15,1,339,0.52
57,15,1,342,0.76
58,15,1,350,0.44
59,15,1,355,0.00
60,15,1,359,0.17
61,15,1,360,0.97
62,15,1,361,0.85
63,15,1,367,0.83
64,15,1,374,0.14
65,15,1,378,0.45
66,15,1,380,0.62
67,15,1,381,0.16
68,15,1,399,0.30
69,15,1,402,0.97
70,15,1,410,0.74
71,15,1,415,0.69
72,15,1,424,0.58
73,15,1,441,0.66
74,15,1,444,0.58
75,15,1,445,0.76
76,15,1,446,0.06
77,15,1,452,0.43
78,15,1,455,0.53
79,15,1,456,0.59
80,15,1,459,0.62
81,15,1,460,0.53
82,15,1,464,0.68
83,15,1,467,0.38
84,15,1,470,0.68
85,15,1,472,0.32
86,15,1,481,0.40
87,15,1,482,0.76
88,15,1,483,0.57
89,15,1,484,0.39
90,15,1,490,0.12
91,15,1,498,0.17
92,15,1,510,0.32
93,15,1,515,0.60
94,15,1,517,0.38
95,15,1,524,0.79
96,15,1,525,0.99
97,15,1,526,0.60
98,15,1,528,0.40
99,15,1,540,0.47
100,15,1,541,0.81
101,15,1,548,0.37
102,15,1,552,0.28
103,15,1,553,0.85
104,15,1,557,0.78
105,15,1,558,0.93
106,15,1,561,0.35
107,15,1,569,0.93
108,15,1,584,0.61
109,15,1,585,0.32
110,15,1,592,0.04
111,15,1,599,0.49
112,15,1,604,0.94
113,15,1,606,0.90
114,15,1,608,0.99
115,15,1,614,0.30
116,15,1,620,0.19
117,15,1,630,0.58
118,15,1,636,0.84
119,15,1,637,0.66
120,15,1,645,0.76
121,15,1,646,0.36
122,15,1,647,0.59
123,15,1,652,0.61
124,15,1,653,0.11
125,15,1,655,0.78
126,15,1,663,0.77
127,15,1,667,0.54
128,15,1,674,0.08
129,15,1,678,0.13
130,15,1,681,0.94
131,15,1,685,0.00
132,15,1,688,0.61
133,15,1,690,0.40
134,15,1,706,0.30
135,15,1,707,0.03
136,15,1,711,0.85
137,15,1,713,0.00
138,15,1,714,0.91
139,15,1,721,0.31
140,15,1,722,0.59
141,15,1,723,0.29
142,15,1,726,0.07
143,15,1,727,0.17
144,15,1,730,0.85
145,15,1,734,0.65
146,15,1,735,0.12
147,15,1,738,0.31
148,15,1,746,0.02
149,15,1,752,0.56
150,15,1,757,0.85
151,15,1,759,0.52
152,15,1,769,0.59
153,15,1,775,0.85
154,15,1,777,0.74
